epoch,acc,loss,val_acc,val_loss
0,0.839340490797546,0.3682224266916696,0.6907894736842105,0.5552427290301574
1,0.9146855828220859,0.2124405225818874,0.660472972972973,0.6896676850077268
2,0.9210122699386503,0.19421558804307248,0.6300675675675675,0.9030973484387269
3,0.9323236196319018,0.17508283831133434,0.6368243243243243,0.8109850734472275
4,0.932898773006135,0.16550508836295708,0.6233108108108109,0.9313160155874651
5,0.9399923312883436,0.15753405842861515,0.660472972972973,0.778206649664286
6,0.9394171779141104,0.15632072821305207,0.6554054054054054,0.7833563724683749
7,0.9478527607361963,0.13905467257543574,0.6942567567567568,0.6718742934030455
8,0.941717791411043,0.14720476047347295,0.6807432432432432,0.761988814920187
9,0.9447852760736196,0.1370402607506861,0.6706081081081081,0.8501790191072065
10,0.9447852760736196,0.1434011895300969,0.668918918918919,0.9233163015262501
11,0.9503450920245399,0.13255182954202765,0.6739864864864865,0.8316491310157486
12,0.9555214723926381,0.12301965369814379,0.6706081081081081,0.9785038855279217
13,0.9539877300613497,0.12355704514161209,0.7432432432432432,0.573739328698532
14,0.9562883435582822,0.12520066303618116,0.7111486486486487,0.865640868407649
15,0.9543711656441718,0.12208245285541001,0.7398648648648649,0.7215335342428975
16,0.9574386503067485,0.1129654674487977,0.7398648648648649,0.7125351460197488
17,0.9541794478527608,0.1171482701791576,0.7415540540540541,0.6491533257067204
18,0.9572469325153374,0.10886363479440198,0.7179054054054054,0.7875043942114791
19,0.9626150306748467,0.09927409694192965,0.722972972972973,0.8358585958595615
