epoch,acc,loss,val_acc,val_loss
0,0.8516104294478528,0.324147444424088,0.8947368421052632,0.25479228363225337
1,0.9311733128834356,0.17431584814209147,0.9273648648648649,0.22382754530455615
2,0.9384585889570553,0.14906172527491682,0.910472972972973,0.25599380972719676
3,0.9547546012269938,0.12804451791078217,0.9222972972972973,0.24222352453885046
4,0.9574386503067485,0.1163382617745297,0.9239864864864865,0.23002631408539978
5,0.9560966257668712,0.11518180516599877,0.8581081081081081,0.3874169631194122
6,0.9585889570552147,0.11226532039192556,0.9256756756756757,0.24466820292778918
7,0.9624233128834356,0.09974675460438603,0.9324324324324325,0.18391920739432444
8,0.9651073619631901,0.0947716322561806,0.9239864864864865,0.23445217829273157
9,0.9670245398773006,0.0924593476018657,0.9290540540540541,0.21082212200791045
10,0.9704754601226994,0.08466249191276501,0.902027027027027,0.30205506251061437
11,0.9656825153374233,0.08919806946983184,0.9239864864864865,0.21479280290470734
12,0.9679831288343558,0.08806920110996515,0.9358108108108109,0.19423974357935525
13,0.9681748466257669,0.0856250307117046,0.9273648648648649,0.18735686992295086
14,0.9679831288343558,0.08430396258671043,0.9222972972972973,0.23382176390244952
15,0.9702837423312883,0.0822379324025263,0.9375,0.18561057784795962
16,0.9741180981595092,0.07326457051537429,0.9358108108108109,0.1579828202359479
17,0.9706671779141104,0.08012611947473755,0.9256756756756757,0.1916253001781533
18,0.9762269938650306,0.07203250961732462,0.9239864864864865,0.20810826401528273
19,0.9743098159509203,0.06951997527978354,0.9273648648648649,0.20239782799507264
20,0.9739263803680982,0.07088747000081773,0.9259868421052632,0.20192236840528877
21,0.973159509202454,0.07058026035676247,0.9307432432432432,0.18549084231710514
22,0.9762269938650306,0.06788606080940805,0.9290540540540541,0.19376430036248388
23,0.9773773006134969,0.06331088765598605,0.9324324324324325,0.22426995546934572
24,0.9785276073619632,0.06295950092843797,0.9222972972972973,0.23010226363014127
25,0.9773773006134969,0.06385670229506914,0.9239864864864865,0.202015548680179
26,0.9789110429447853,0.061249456004142486,0.9307432432432432,0.207261058945536
27,0.9785276073619632,0.06283222282579615,0.9273648648648649,0.24103083306722142
28,0.9791027607361963,0.0583652991321555,0.9222972972972973,0.2381107795171792
29,0.97795245398773,0.061305835551690835,0.9087837837837838,0.32084639356440137
30,0.977569018404908,0.06067663771700274,0.9222972972972973,0.22141676631479248
31,0.9808282208588958,0.053619508220145676,0.9290540540540541,0.22072816682929122
32,0.9800613496932515,0.052432161260201976,0.9155405405405406,0.28824433583744197
33,0.9785276073619632,0.057039415652355166,0.9155405405405406,0.29402511447158364
34,0.982170245398773,0.04902890390156557,0.9239864864864865,0.20994412171893526
